Year,Month,avgMonthlyPrecipitation
2016,7,0.0
2016,6,47.662500091828406
2016,5,29.250000204890966
2016,4,26.900000237859786
2016,3,19.96250029373914
2016,2,21.56250028219074
2016,1,22.325000344775617
2015,12,28.92500019259751
2015,11,63.887500293552876
2015,10,2.2625000346451998
2015,9,101.30000030715019
2015,8,26.9875001097098
2015,7,119.09999992512167
2015,6,78.66250023245811
2015,5,93.22500019986182
2015,4,15.337500078603625
2015,3,42.612500292249024
2015,2,24.825000358745456
2015,1,59.11250052880496
2014,12,35.462500284425914
2014,11,52.42500038724393
2014,10,72.137500340119
2014,9,48.45000013988465
2014,8,90.81250035669655
2014,7,22.987500060349703
2014,6,75.1375000923872
2014,5,58.00000019557774
2014,4,31.762500155717134
2014,3,36.562500204890966
2014,2,43.71250038780272
2014,1,62.5750005254522
2013,12,42.262500297278166
2013,11,46.375000218860805
2013,10,53.875000157393515
2013,9,26.18750006519258
2013,8,54.075000083073974
2013,7,54.562500298023224
2013,6,61.32500027026981
2013,5,47.9250001674518
2013,4,38.28750020172447
2013,3,7.3875001249834895
2013,2,25.525000332854688
2013,1,21.525000320747495
2012,12,66.93333393086989
2012,11,68.65000034620364
2012,10,65.58333372200529
2012,9,72.75000041599075
2012,8,68.81666687130928
2012,7,59.06666667883595
2012,6,132.2000003134211
2012,5,22.966666764269274
2012,4,62.783333686490856
2012,3,8.550000083943209
2012,2,28.66666692122817
2012,1,43.55000018700957
2011,12,42.13333370536566
2011,11,13.466666818906864
2011,10,43.75000020861626
2011,9,52.56666677817702
2011,8,86.26666706552108
2011,7,94.91666691998641
2011,6,88.35000010952353
2011,5,37.85000026226044
2011,4,14.916666743656
2011,3,19.833333446333807
2011,2,24.51666687677304
2011,1,35.133333471914135
2010,12,37.183333836495876
2010,11,93.55000065763791
2010,10,52.53333357349038
2010,9,43.0833335245649
2010,8,108.0500004204611
2010,7,92.40000008667509
2010,6,48.65000014131268
2010,5,67.16666713232796
2010,4,23.78333359832565
2010,3,23.883333566288155
2010,2,52.75000051533183
2010,1,35.98333375031749
2009,12,53.45000062758724
2009,11,64.21666713555653
2009,10,56.833333522081375
2009,9,29.9500000787278
2009,8,61.56666665524244
2009,7,113.1666668318212
2009,6,49.766666823377214
2009,5,54.16666684175531
2009,4,2.8000000479320684
2009,3,34.483333609998226
2009,2,24.78333357721567
2009,1,15.883333556354046
2008,12,43.48333380743861
2008,11,46.750000243385635
2008,10,59.56666695574919
2008,9,47.36666680499911
2008,8,138.51666708787283
2008,7,85.20000029603641
2008,6,42.93333333109816
2008,5,23.133333430935938
2008,4,20.250000193715096
2008,3,42.200000243882336
2008,2,28.250000114242237
2008,1,44.96666703869899
2007,12,54.700000401586294
2007,11,50.68333384518822
2007,10,28.11666675036152
2007,9,61.86666693414251
2007,8,54.16666689515114
2007,7,95.96666704987486
2007,6,108.95000001167257
2007,5,40.516666842003666
2007,4,21.250000188748043
2007,3,40.51666688422362
2007,2,33.06666713953018
2007,1,68.63333374758561
2006,12,29.733333500723045
2006,11,71.71666706105073
2006,10,118.16666688273351
2006,9,19.266666860630114
2006,8,148.08333325882754
2006,7,28.98333342249195
2006,6,31.13333349923293
2006,5,52.33333348979553
2006,4,44.3666669242084
2006,3,27.86666700368126
2006,2,34.7500004482766
2006,1,17.68333365395665
2005,12,56.63333402698239
2005,11,32.60000016416112
2005,10,38.050000152240194
2005,9,13.949999990562597
2005,8,76.96666661649942
2005,7,104.34999975810449
2005,6,67.9666666649282
2005,5,55.38333350171646
2005,4,11.65000007301569
2005,3,23.46666696170966
2005,2,33.500000381221376
2005,1,18.05000024785598
2004,12,24.250000198682148
2004,11,54.133333726475634
2004,10,78.18333352232973
2004,9,37.20000021532178
2004,8,75.4833336174488
2004,7,96.00000018750627
2004,6,56.850000351667404
2004,5,39.700000159442425
2004,4,20.616666855911415
2004,3,28.483333583921194
2004,2,27.350000311930973
2004,1,26.400000263005495
2003,12,52.1166670024395
2003,11,54.45000045374036
2003,10,45.58333371579647
2003,9,8.883333465705315
2003,8,55.283333621919155
2003,7,113.46666681518157
2003,6,66.66666689515114
2003,5,68.45000016813476
2003,4,51.41666702181101
2003,3,6.900000063081582
2003,2,9.116666823625565
2003,1,17.716666847467422
2002,12,20.916666979591053
2002,11,53.683333733429514
2002,10,60.50000041847428
2002,9,16.066666721055906
2002,8,8.250000023593506
2002,7,80.51666706055403
2002,6,98.78333362191916
2002,5,72.13333340113361
2002,4,29.916666814436514
2002,3,26.933333647747833
2002,2,47.58333383500576
2002,1,55.000000393639006
2001,12,35.1833338017265
2001,11,26.383333613475163
2001,10,60.48333349699775
2001,9,110.63333345080416
2001,8,69.96666694805026
2001,7,40.2833334505558
2001,6,26.766666769981384
2001,5,33.983333233743906
2001,4,46.06666709110141
2001,3,30.266666914025944
2001,2,36.76666706055403
2001,1,36.41666695599755
2000,12,63.2666669289271
2000,11,108.11666733399034
2000,10,110.30000044902165
2000,9,27.5166666743656
2000,8,54.849999744445086
2000,7,135.86666715641817
2000,6,62.01666700467467
2000,5,25.316666814188164
2000,4,36.16666699449221
2000,3,21.683333658923704
2000,2,24.050000245372456
2000,1,18.616666828592617
1999,12,66.00000055755179
1999,11,18.45000022277236
1999,10,18.55000017459194
1999,9,55.51666675632199
1999,8,54.800000198185444
1999,7,29.083333386729162
